反射光センサー, ジャイロ角度, ジャイロセンサ角速度,ターン,P,モータ角位置
0,0,14,0,0,1916
0,0,29,0,0,1920
0,0,11,0,0,1923
0,0,15,0,0,1926
0,0,13,0,0,1930
0,0,36,0,0,1933
0,0,17,0,0,1936
0,0,28,0,0,1940
0,0,24,0,0,1943
0,0,10,0,0,1946
0,0,31,0,0,1950
0,0,18,0,0,1953
0,0,29,0,0,1956
0,0,10,0,0,1960
0,0,25,0,0,1963
0,0,10,0,0,1966
0,0,27,0,0,1970
0,0,26,0,0,1973
0,0,19,0,0,1976
0,0,29,0,0,1980
0,0,14,0,0,1983
0,0,25,0,0,1986
0,0,14,0,0,1990
0,0,27,0,0,1993
0,0,13,0,0,1996
0,0,36,0,0,2000
0,0,13,0,0,2003
0,0,20,0,0,2006
0,0,15,0,0,2010
0,0,25,0,0,2013
0,0,27,0,0,2016
0,0,6,0,0,2020
0,0,24,0,0,2023
0,0,9,0,0,2026
0,0,29,0,0,2030
0,0,10,0,0,2033
0,0,22,0,0,2037
0,0,24,0,0,2040
0,0,10,0,0,2044
0,0,22,0,0,2047
0,0,13,0,0,2050
0,0,21,0,0,2053
0,0,13,0,0,2057
0,0,23,0,0,2060
0,0,17,0,0,2064
0,0,16,0,0,2067
0,0,13,0,0,2070
0,0,12,0,0,2074
0,0,22,0,0,2077
0,0,11,0,0,2080
0,0,13,0,0,2084
0,0,17,0,0,2087
0,0,9,0,0,2090
0,0,18,0,0,2094
0,0,5,0,0,2097
0,0,15,0,0,2100
0,0,9,0,0,2104
0,0,17,0,0,2107
0,0,7,0,0,2110
0,0,9,0,0,2114
0,0,11,0,0,2117
0,0,4,0,0,2120
0,0,17,0,0,2124
0,0,1,0,0,2127
0,0,16,0,0,2130
0,0,5,0,0,2134
0,0,16,0,0,2137
0,0,13,0,0,2140
0,0,15,0,0,2144
0,0,19,0,0,2147
0,0,16,0,0,2150
0,0,21,0,0,2154
0,0,14,0,0,2157
0,0,22,0,0,2160
0,0,13,0,0,2164
0,0,26,0,0,2167
0,0,21,0,0,2170
0,0,23,0,0,2174
0,0,17,0,0,2177
0,0,18,0,0,2180
0,0,24,0,0,2184
0,0,27,0,0,2188
0,0,16,0,0,2191
0,0,23,0,0,2194
0,0,19,0,0,2198
0,0,22,0,0,2201
0,0,23,0,0,2204
0,0,12,0,0,2208
0,0,25,0,0,2211
0,0,16,0,0,2214
0,0,28,0,0,2218
0,0,19,0,0,2221
0,0,21,0,0,2224
0,0,20,0,0,2228
0,0,21,0,0,2231
0,0,22,0,0,2234
0,0,17,0,0,2238
0,0,26,0,0,2241
0,0,12,0,0,2244
0,0,23,0,0,2248
0,0,10,0,0,2251
0,0,24,0,0,2254
0,0,16,0,0,2258
0,0,24,0,0,2261
0,0,19,0,0,2264
0,0,12,0,0,2268
0,0,21,0,0,2271
0,0,12,0,0,2274
0,0,28,0,0,2278
0,0,15,0,0,2282
0,0,26,0,0,2285
0,0,15,0,0,2288
0,0,24,0,0,2292
0,0,25,0,0,2295
0,0,19,0,0,2298
0,0,35,0,0,2302
0,0,12,0,0,2305
0,0,36,0,0,2308
0,0,7,0,0,2312
0,0,37,0,0,2315
0,0,28,0,0,2318
0,0,25,0,0,2322
0,0,38,0,0,2325
0,0,14,0,0,2328
0,0,27,0,0,2332
0,0,12,0,0,2335
0,0,37,0,0,2338
0,0,19,0,0,2342
0,0,35,0,0,2345
0,0,12,0,0,2348
0,0,13,0,0,2352
0,0,28,0,0,2355
0,0,13,0,0,2358
0,0,42,0,0,2362
0,0,7,0,0,2365
0,0,28,0,0,2368
0,0,13,0,0,2372
0,0,20,0,0,2375
0,0,18,0,0,2378
0,0,15,0,0,2382
0,0,18,0,0,2385
0,0,22,0,0,2388
0,0,23,0,0,2392
0,0,10,0,0,2395
0,0,25,0,0,2399
0,0,12,0,0,2402
0,0,16,0,0,2405
0,0,21,0,0,2408
0,0,20,0,0,2412
0,0,25,0,0,2415
0,0,8,0,0,2418
0,0,21,0,0,2422
0,0,13,0,0,2426
0,0,24,0,0,2429
0,0,8,0,0,2432
0,0,25,0,0,2436
0,0,20,0,0,2439
0,0,18,0,0,2442
0,0,26,0,0,2446
0,0,19,0,0,2449
0,0,26,0,0,2452
0,0,12,0,0,2456
0,0,24,0,0,2459
0,0,22,0,0,2462
0,0,17,0,0,2466
0,0,19,0,0,2469
0,0,28,0,0,2472
0,0,15,0,0,2476
0,0,33,0,0,2479
0,0,24,0,0,2482
0,0,19,0,0,2486
0,0,27,0,0,2489
0,0,17,0,0,2492
0,0,31,0,0,2496
0,0,17,0,0,2499
0,0,33,0,0,2502
0,0,19,0,0,2506
0,0,27,0,0,2509
0,0,22,0,0,2512
0,0,24,0,0,2516
0,0,27,0,0,2519
0,0,12,0,0,2523
0,0,31,0,0,2526
0,0,14,0,0,2529
0,0,29,0,0,2533
0,0,15,0,0,2536
0,0,26,0,0,2540
0,0,28,0,0,2543
0,0,16,0,0,2546
0,0,17,0,0,2550
0,0,15,0,0,2553
0,0,28,0,0,2556
0,0,11,0,0,2560
0,0,26,0,0,2563
0,0,13,0,0,2566
0,0,24,0,0,2570
0,0,16,0,0,2573
0,0,24,0,0,2576
0,0,21,0,0,2580
0,0,14,0,0,2583
0,0,24,0,0,2586
