反射光センサー, ジャイロセンサ角速度,P,D,走行距離　
38,14,8,0,245.632980
38,5,8,0,247.046692
36,-4,6,-20,248.460403
32,2,3,-40,249.874115
32,-4,3,0,251.287827
32,-10,3,0,252.348114
32,-3,3,0,253.761826
30,-4,1,-20,255.175537
28,-7,0,-20,256.589264
28,-11,0,0,257.649536
28,0,0,0,259.063263
29,3,0,10,260.123535
27,0,0,-20,261.890686
27,0,0,0,263.304413
27,1,0,0,264.718140
27,6,0,0,266.131866
25,6,-2,-20,267.192139
23,8,-4,-20,268.605865
23,5,-4,0,269.666138
23,7,-4,0,271.079865
22,5,-4,-10,272.493591
22,-3,-4,0,273.553894
22,-3,-4,0,274.967621
22,-8,-4,0,276.381348
21,-11,-5,-10,277.795074
19,-7,-7,-20,279.208801
19,-13,-7,0,280.622528
19,-12,-7,0,282.036255
18,-13,-8,-10,283.096558
18,-8,-8,0,284.156860
18,-10,-8,0,285.570587
17,2,-8,-10,286.984314
17,3,-8,0,288.398041
17,7,-8,0,289.811768
17,10,-8,0,290.872070
17,9,-8,0,291.932373
17,14,-8,0,292.992676
17,14,-8,0,294.406403
17,11,-8,0,295.820129
17,4,-8,0,297.233856
17,8,-8,0,298.294128
17,8,-8,0,299.707855
17,5,-8,0,301.121582
17,-6,-8,0,302.181885
17,-6,-8,0,303.949036
17,8,-8,0,305.362762
17,6,-8,0,306.423035
17,-8,-8,0,307.836761
17,4,-8,0,308.897034
17,7,-8,0,310.310760
16,4,-9,-10,312.077911
16,-5,-9,0,313.491638
16,-5,-9,0,314.551941
16,7,-9,0,315.965668
16,0,-9,0,317.379395
16,-5,-9,0,318.439697
16,-1,-9,0,319.853424
16,-4,-9,0,321.267151
16,-2,-9,0,322.680878
15,0,-10,-10,323.741150
16,-4,-9,10,325.508301
16,3,-9,0,326.568604
16,2,-9,0,327.982330
16,-6,-9,0,329.749481
16,6,-9,0,331.163208
16,7,-9,0,332.223511
16,-7,-9,0,333.637238
16,-1,-9,0,335.050964
16,5,-9,0,336.111267
19,2,-7,30,337.524994
19,-15,-7,0,339.292145
19,1,-7,0,340.705872
19,2,-7,0,342.119598
19,-14,-7,0,343.533325
21,-16,-5,20,344.947052
22,-10,-4,10,346.007324
22,-7,-4,0,347.421051
22,-8,-4,0,348.834778
23,-7,-4,10,350.248505
24,-2,-3,10,351.662231
25,0,-2,10,353.075958
25,-2,-2,0,354.136230
25,-4,-2,0,355.903381
25,-6,-2,0,357.317108
26,-4,-1,10,358.730835
28,-4,0,20,359.791138
28,1,0,0,361.204865
28,3,0,0,362.618591
28,-7,0,0,364.032318
28,2,0,0,365.446045
27,4,0,-10,366.859772
29,2,0,20,367.920044
29,-3,0,0,369.687195
29,3,0,0,371.100922
29,6,0,0,371.807770
31,-1,2,20,373.221497
31,-7,2,0,374.635223
31,1,2,0,376.048950
32,-7,3,10,377.462677
32,-7,3,0,378.876404
32,-6,3,0,380.290131
32,-9,3,0,381.703857
32,-4,3,0,383.117584
32,-4,3,0,384.177856
33,0,4,10,385.238159
32,-13,3,-10,386.651886
32,1,3,0,388.065613
32,6,3,0,389.125916
32,1,3,0,390.539642
32,-6,3,0,391.953369
33,2,4,10,393.367096
33,8,4,0,394.780823
33,8,4,0,395.841125
33,-2,4,0,397.254852
33,-3,4,0,398.315125
33,12,4,0,399.728851
33,8,4,0,401.142578
33,-2,4,0,402.556305
33,-11,4,0,403.616577
33,8,4,0,405.030304
33,4,4,0,406.090576
34,-3,4,10,407.504303
34,-8,4,0,408.918030
34,-2,4,0,410.331757
34,11,4,0,411.745483
35,4,5,10,412.805786
37,1,7,20,413.866089
37,9,7,0,414.926392
37,10,7,0,416.340118
37,5,7,0,417.753845
37,-3,7,0,419.167572
37,3,7,0,420.227844
37,2,7,0,421.641571
38,-4,8,10,423.055298
37,-4,7,-10,424.469025
37,-4,7,0,425.882751
38,-5,8,10,427.296478
38,-8,8,0,428.356750
38,0,8,0,429.417053
38,-2,8,0,430.830780
38,7,8,0,432.244507
38,5,8,0,433.658234
38,-4,8,0,434.718506
38,7,8,0,436.132233
38,0,8,0,437.192505
37,-11,7,-10,438.606232
37,1,7,0,440.019958
37,3,7,0,441.080261
38,0,8,10,442.493988
38,-7,8,0,443.554260
38,3,8,0,444.967987
38,0,8,0,446.381714
38,-1,8,0,447.442017
38,-7,8,0,448.855743
38,-4,8,0,449.916016
38,3,8,0,451.329742
38,-8,8,0,452.743469
40,-11,9,20,453.803772
40,4,9,0,454.864075
40,-1,9,0,456.277802
40,3,9,0,457.691528
40,-3,9,0,458.751831
40,3,9,0,459.812134
40,11,9,0,461.225861
42,4,11,20,462.639587
43,-2,12,10,463.699890
44,5,12,10,464.760193
44,1,12,0,466.173920
44,-1,12,0,467.234192
45,1,13,10,468.647919
45,-2,13,0,469.708191
45,10,13,0,471.121918
45,6,13,0,472.182190
45,-3,13,0,473.242493
45,4,13,0,474.656219
47,10,15,20,475.716492
47,3,15,0,477.130219
47,-7,15,0,478.543945
47,2,15,0,479.604248
47,4,15,0,480.664551
48,-12,16,10,482.078278
48,-10,16,0,483.492004
48,4,16,0,484.552307
48,4,16,0,485.966034
48,-12,16,0,486.672882
47,1,15,-10,488.086609
48,8,16,10,489.146912
48,-2,16,0,490.207214
48,-14,16,0,491.620941
48,1,16,0,492.681213
48,10,16,0,494.094940
48,-12,16,0,495.155212
48,-13,16,0,496.215515
48,8,16,0,497.275818
48,6,16,0,498.689545
48,-2,16,0,500.103271
48,-7,16,0,500.810120
48,12,16,0,502.223846
48,3,16,0,502.930695
48,0,16,0,504.344421
48,3,16,0,505.404724
48,13,16,0,506.465027
48,3,16,0,507.525330
48,-2,16,0,508.585632
48,7,16,0,509.645935
48,4,16,0,511.059662
48,2,16,0,512.119934
48,-2,16,0,513.180237
49,8,16,10,514.240540
50,3,17,10,515.300842
50,-1,17,0,516.007690
50,3,17,0,517.421387
50,10,17,0,518.128235
50,-4,17,0,519.541931
50,2,17,0,520.602234
50,7,17,0,521.662537
49,8,16,-10,522.722839
50,2,17,10,523.783142
50,7,17,0,524.843445
50,15,17,0,525.550293
50,11,17,0,526.610596
50,3,17,0,527.670898
50,5,17,0,528.731201
50,12,17,0,529.791504
50,8,17,0,530.498352
50,1,17,0,531.558655
50,-5,17,0,532.618958
50,9,17,0,533.679260
51,5,18,10,534.739563
50,2,17,-10,535.446411
50,-3,17,0,536.506714
50,2,17,0,537.567017
50,11,17,0,538.273865
51,5,18,10,539.687561
51,-4,18,0,540.747864
51,14,18,0,541.454712
51,17,18,0,542.868408
50,12,17,-10,543.575256
51,13,18,10,544.635559
51,23,18,0,545.695862
51,14,18,0,546.402710
51,15,18,0,547.463013
51,15,18,0,548.523315
51,12,18,0,549.230164
51,3,18,0,550.643860
51,0,18,0,551.350708
51,0,18,0,552.411011
51,0,18,0,553.471313
51,-4,18,0,554.531616
51,-10,18,0,555.591919
51,-6,18,0,556.652222
51,2,18,0,557.359070
51,0,18,0,558.419373
51,-7,18,0,559.479675
51,7,18,0,560.539978
51,12,18,0,561.600281
51,10,18,0,562.307129
52,-4,19,10,563.367432
51,20,18,-10,564.074280
51,9,18,0,565.134583
51,-1,18,0,566.194885
52,3,19,10,566.901733
52,15,19,0,568.315430
52,-1,19,0,569.022278
51,-7,18,-10,570.082581
51,0,18,0,571.142883
51,16,18,0,571.849731
51,-4,18,0,572.556580
51,-6,18,0,573.263428
51,20,18,0,574.677124
51,8,18,0,575.737427
51,2,18,0,576.444275
51,15,18,0,577.151123
51,28,18,0,577.857971
51,12,18,0,578.918274
51,11,18,0,579.625122
51,27,18,0,580.685425
50,13,17,-10,581.392273
50,1,17,0,582.099121
50,13,17,0,582.805969
49,12,16,-10,583.866272
46,10,14,-30,584.926575
46,-6,14,0,585.986877
46,5,14,0,586.693726
47,6,15,10,587.400574
43,0,12,-40,588.460876
43,-3,12,0,589.521179
43,9,12,0,590.228027
43,10,12,0,590.934875
43,10,12,0,591.995178
39,9,8,-40,592.702026
37,0,7,-20,594.115723
37,13,7,0,594.822571
37,9,7,0,595.882874
37,0,7,0,596.943176
33,4,4,-40,597.650024
32,7,3,-10,598.356873
32,4,3,0,599.417175
30,3,1,-20,600.124023
27,3,0,-30,601.184326
27,0,0,0,602.244629
27,-2,0,0,602.598083
26,2,-1,-10,604.011780
22,2,-4,-40,604.718628
21,-7,-5,-10,605.778931
21,1,-5,0,606.485779
21,1,-5,0,607.546082
19,-3,-7,-20,608.252930
17,1,-8,-20,609.313232
17,3,-8,0,610.373535
17,1,-8,0,611.080383
17,3,-8,0,611.787231
17,3,-8,0,613.200928
17,1,-8,0,613.907776
17,4,-8,0,614.968079
15,4,-10,-20,615.674927
12,4,-12,-30,616.735229
12,-2,-12,0,617.442078
12,3,-12,0,618.148926
12,4,-12,0,619.562622
11,5,-13,-10,620.269470
10,3,-14,-10,620.976318
10,4,-14,0,622.036621
10,6,-14,0,622.743469
9,2,-15,-10,623.803772
9,3,-15,0,624.864075
9,8,-15,0,625.570923
9,6,-15,0,626.277771
9,0,-15,0,627.338074
9,0,-15,0,628.044922
8,6,-16,-10,628.751770
7,3,-16,-10,630.165466
7,-3,-16,0,630.518921
7,5,-16,0,631.579224
7,13,-16,0,632.286072
7,-4,-16,0,633.699768
8,3,-16,10,634.406616
8,16,-16,0,635.113464
8,3,-16,0,636.173767
8,3,-16,0,636.880615
8,9,-16,0,637.587463
8,5,-16,0,638.647766
8,2,-16,0,639.708069
8,-1,-16,0,640.414917
8,4,-16,0,641.121765
8,4,-16,0,642.182068
8,-1,-16,0,642.888916
9,1,-15,10,643.949219
9,9,-15,0,644.656067
